Bias (V)	ADC0-I (V) avg.	ADC0-I (V) [1]	ADC0-I (V) [2]	ADC0-I (V) [3]	ADC0-I (V) [4]	ADC0-I (V) [5]	
1.573400	0.021058	0.021363	0.021363	0.021058	0.020447	0.021058	
1.586730	0.021607	0.022279	0.022279	0.021363	0.021058	0.021058	
1.600060	0.021851	0.022279	0.022584	0.021668	0.021668	0.021058	
1.613400	0.022401	0.022279	0.022889	0.022279	0.022584	0.021973	
1.626730	0.023011	0.023194	0.023499	0.022889	0.022889	0.022584	
1.640060	0.023560	0.023499	0.023804	0.023804	0.023499	0.023194	
1.653400	0.024110	0.024110	0.024720	0.024110	0.023804	0.023804	
1.666730	0.024476	0.024720	0.025025	0.024415	0.024720	0.023499	
1.680060	0.025147	0.025330	0.025941	0.025025	0.025330	0.024110	
1.693400	0.025697	0.025635	0.025941	0.025941	0.025941	0.025025	
1.706730	0.026490	0.026246	0.026856	0.026246	0.026856	0.026246	
1.720060	0.027467	0.027467	0.028077	0.027161	0.027467	0.027161	
1.733390	0.027894	0.028382	0.028687	0.027161	0.027772	0.027467	
1.746730	0.028504	0.028993	0.029298	0.028077	0.028993	0.027161	
1.760060	0.029420	0.029298	0.030213	0.029298	0.029908	0.028382	
1.773390	0.030396	0.030213	0.031129	0.030213	0.030519	0.029908	
1.786730	0.031129	0.030824	0.032044	0.031129	0.030824	0.030824	
1.800060	0.031922	0.032350	0.033265	0.031129	0.031434	0.031434	
1.813390	0.032472	0.032960	0.033875	0.031739	0.032350	0.031434	
1.826730	0.033326	0.033570	0.034181	0.033570	0.033265	0.032044	
1.840060	0.034120	0.033570	0.035096	0.034181	0.034181	0.033570	
1.853390	0.035524	0.035402	0.036317	0.034791	0.036012	0.035096	
1.866730	0.036195	0.036927	0.037233	0.035096	0.036317	0.035402	
1.880060	0.037049	0.037538	0.038453	0.036927	0.036622	0.035707	
1.893390	0.038026	0.038453	0.039674	0.038148	0.037538	0.036317	
1.906730	0.039247	0.039674	0.040284	0.038759	0.039674	0.037843	
1.920060	0.040468	0.040590	0.041505	0.040284	0.040590	0.039369	
1.933390	0.041627	0.042115	0.043336	0.041200	0.041505	0.039979	
1.946720	0.042726	0.043336	0.044252	0.042421	0.042421	0.041200	
1.960060	0.043580	0.044252	0.045167	0.043336	0.043642	0.041505	
1.973390	0.044313	0.043947	0.046083	0.043947	0.044862	0.042726	
1.986720	0.045961	0.045167	0.047304	0.046388	0.046388	0.044557	
1.999880	0.046144	0.046388	0.047304	0.046083	0.045778	0.045167	
1.986540	0.044801	0.045473	0.046083	0.043947	0.044862	0.043642	
1.973210	0.043641	0.044557	0.045778	0.042726	0.043336	0.041810	
1.959880	0.041932	0.042115	0.043642	0.041505	0.041810	0.040590	
1.946550	0.041627	0.041810	0.042726	0.041505	0.041810	0.040284	
1.933210	0.040590	0.040895	0.041810	0.040284	0.040590	0.039369	
1.919880	0.039735	0.039979	0.041200	0.039369	0.039674	0.038453	
1.906550	0.038514	0.038759	0.040284	0.037843	0.038759	0.036927	
1.893210	0.037355	0.037538	0.038453	0.036927	0.037843	0.036012	
1.879880	0.036256	0.036622	0.037538	0.036012	0.036622	0.034486	
1.866550	0.035585	0.035402	0.036622	0.035402	0.035707	0.034791	
1.853210	0.034547	0.034791	0.035402	0.034181	0.034486	0.033875	
1.839880	0.033570	0.033875	0.034181	0.032960	0.033570	0.033265	
1.826550	0.032289	0.032350	0.033265	0.031434	0.032655	0.031739	
1.813210	0.031495	0.032044	0.032350	0.030519	0.031739	0.030824	
1.799880	0.030702	0.031129	0.031434	0.029908	0.030824	0.030213	
